key	text	tooltip
effects_description_wh_main_effect_name_epithet_chs_the_bloody_butcher	[HIDDEN] Adds the name "the Bloody Butcher"	true
effects_description_wh_main_effect_tech_battle_morale_increase_empire_infantry	Leadership: %+n for Empire infantry units	true
effects_description_wh_main_effect_economy_gdp_culture	Income generated: %n	true
effects_description_wh_main_effect_siege_engine_unlock_dwf_siege_tower	Pre-siege: siege tower	true
effects_description_wh_main_faction_diplomacy_penalty_wood_elves	Diplomatic relations: %+n with Wood Elves	true
effects_description_wh_main_effect_name_epithet_vmp_the_flayer	[HIDDEN] Adds the name "the Flayer"	true
effects_description_wh_main_effect_force_unit_stat_morale_versus_chaos	Leadership: %+n when fighting against Chaos and Norsca	true
effects_description_wh_dlc04_effect_magic_death_cooldown_spirit_leech_strigoi	Cooldown: %+n% to "Spirit Leech"	true
effects_description_wh_main_effect_name_epithet_grn_the_shaman	[HIDDEN] Adds the name "the Shaman"	true
effects_description_wh_main_effect_name_epithet_chs_scourgeborn	[HIDDEN] Adds the name "Scourgeborn"	true
effects_description_wh_dlc03_effect_bonus_morale_fighting_against_middenheim	Leadership: %+n when fighting against Middenheim forces	true
effects_description_wh_main_effect_siege_engine_enable_chs_siege_tower	Siege construction: siege tower	true
effects_description_wh_main_effect_force_campaign_stance_begin_fatigued_4_tired	Vigour in battle: Tired	true
effects_description_wh_main_effect_upkeep_all_characters	[HIDDEN] Upkeep for all characters	true
effects_description_wh_main_effect_force_army_battle_gyrocopter_armour	Armour: %+n for Gyrocopter and Gyrobomber units	true
effects_description_wh_dlc04_effect_force_speed_increase_flagellants	Speed: %+n% for Flagellants units	true
effects_description_wh_main_effect_magic_big_waaagh_cooldown_brain_bursta	Cooldown: %+n% to "Brain Bursta"	true
effects_description_wh_main_effect_force_army_campaign_stance_replenishment_dummy	Enables replenishment	true
effects_description_wh_main_effect_name_epithet_chs_the_astute	[HIDDEN] Adds the name "the Astute"	true
effects_description_wh_main_effect_tech_missile_rate_of_fire_increase_quarreller	Reload time reduction: %+n% for Quarrellers units	true
effects_description_wh_main_effect_name_epithet_brt_marshal_of_the_wall	[HIDDEN] Adds the name "Marshal of the Wall"	true
effects_description_wh_main_effect_magic_big_waaagh_enable_foot_of_gork	Spell: "Foot of Gork"	true
effects_description_wh_dlc04_effect_name_dummy_ghorst	[HIDDEN] Adds the name "Ghorst" with priority so it cannot be overridden	true
effects_description_wh_main_effect_public_order_penalty_other_religions	[Will be renamed]{{tr:public_order}}: %+n% penalty due to presence of other religions	true
effects_description_wh_main_effect_character_stat_mod_ap_damage	Armour-piercing damage: %+n	true
effects_description_wh_dlc05_effect_ability_enable_corruptor_of_the_shadowgave	Passive Ability: "Corruptor of the Shadowgave"	true
effects_description_wh_dlc04_effect_ability_enable_the_carstein_ring	Ability: "The Carstein Ring"	true
effects_description_wh_main_effect_agent_action_enable_champion_assist_province	Action: [[col:yellow]]Inspire Populace[[/col]]	true
effects_description_wh_main_effect_enable_mount_imperial_griffon	Mount: Imperial Griffon	true
effects_description_wh_main_effect_name_epithet_dwf_the_stickler	[HIDDEN] Adds the name "the Stickler"	true
effects_description_wh_main_effect_tech_melee_defence_increase_dwarf_characters	Melee defence: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_wh_main_effect_ability_enable_earthing_rod	Ability: "Earthing Rod"	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_bat_swarms	do not translate	true
effects_description_wh_main_effect_tech_hitpoints_increase_wolf_riders	Armour: %+n for Wolf Rider units	true
effects_description_wh_main_effect_ability_enable_dark_fortune	Ability: "Dark Fortune"	true
effects_description_wh_main_effect_tech_recruitment_cost_reduction_varghulfs_vargheists	Recruitment cost: %+n% for Varghulf and Vargheists units	true
effects_description_wh_main_effect_magic_vampires_cooldown_gaze_of_nagash	Cooldown: %+n% to "Gaze of Nagash"	true
effects_description_wh_main_effect_force_army_campaign_recruitment_cost_artillery	Recruitment cost: %+n% for artillery	true
effects_description_wh_main_effect_name_epithet_brt_champion_of_the_melee	[HIDDEN] Adds the name "Champion of the Melee"	true
effects_description_wh_main_effect_enable_mount_nightmare	Mount: Nightmare	true
effects_description_wh_main_effect_agent_action_cost_mod_champion_vampire_counts	Hero action cost: %+n% for Wight Kings	true
effects_description_wh_main_effect_name_epithet_emp_arch_lector	[HIDDEN] Adds the name "Arch Lector"	true
effects_description_wh_dlc04_effect_enable_mount_terrorgheist	Mount: Terrorgheist	true
effects_description_wh_main_effect_siege_engine_enable_emp_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_skill_melee_attack_increase_vmp_tier_2	Melee attack: %+n for Grave Guard and Crypt Horrors units	true
effects_description_wh_main_effect_siege_engine_enable_dwf_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_siege_engine_enable_grn_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_skill_melee_attack_increase_vmp_tier_1	Melee attack: %+n for Zombies, Skeletons and Crypt Ghouls units	true
effects_description_wh_main_effect_siege_engine_enable_chs_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_name_epithet_grn_the_scarred	[HIDDEN] Adds the name "the Scarred"	true
effects_description_wh_main_effect_siege_engine_enable_brt_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_siege_engine_number_chs_siege_tower	%n siege towers per siege item	true
effects_description_wh_main_effect_name_epithet_brt_the_scarred	[HIDDEN] Adds the name "the Scarred"	true
effects_description_wh_main_effect_siege_engine_enable_vmp_battering_ram	Siege construction: battering ram	true
effects_description_wh_main_effect_unit_stat_army_all_shield_mod	Shield effectiveness: %+n%	true
effects_description_wh_main_effect_name_epithet_brt_the_astute	[HIDDEN] Adds the name "the Astute"	true
effects_description_wh_dlc04_effect_unit_xp_levels_corpse_cart_mortis_engine	Unit experience: %+n for Corpse Cart and Mortis Engine unit recruits	true
effects_description_wh_main_effect_ability_enable_rune_of_oath_and_steel	Ability: "Rune of Oath & Steel"	true
effects_description_wh_dlc03_effect_magic_wild_enable_devolve	Spell: "Devolve"	true
effects_description_wh_main_effect_tech_movement_speed_increase_zombies	Speed: %+n% for Zombies units	true
effects_description_wh_main_effect_economy_gdp_mod_agriculture_farming_vampires	Income from Repression buildings: %+n%	true
effects_description_wh_main_effect_name_epithet_brt_beloved_lord	[HIDDEN] Adds the name "Beloved Lord"	true
effects_description_wh_main_effect_agent_action_cost_mod_engineer	Hero action cost: %+n% for Master Engineers	true
effects_description_wh_main_effect_character_stat_mod_personal_aura_morale_effect	Character's aura leadership effect: %+n	true
effects_description_wh_dlc05_effect_agent_enable_recruitment_champion_woodelves	Enables [[img:icon_hero]][[/img]]Hero recruitment: Branchwraith	true
effects_description_wh_main_effect_enable_mount_deathclaw	Mount: Deathclaw	true
effects_description_wh_main_effect_magic_big_waaagh_cooldown_ere_we_go	Cooldown: %+n% to "'Ere We Go"	true
effects_description_wh_main_effect_name_epithet_brt_the_tyrant	[HIDDEN] Adds the name "the Tyrant"	true
effects_description_wh_main_effect_name_epithet_grn_lord_of_war	[HIDDEN] Adds the name "Lord of War"	true
effects_description_wh_main_effect_name_epithet_grn_lore-keeper	[HIDDEN] Adds the name "Lore-keeper"	true
effects_description_wh_main_effect_tech_melee_defence_increase_slayers	Melee defence: %+n for Slayers units	true
effects_description_wh_main_effect_name_epithet_brt_lore-keeper	[HIDDEN] Adds the name "Lore-keeper"	true
effects_description_wh_main_effect_name_epithet_dwf_clan-friend	[HIDDEN] Adds the name "Clan-friend"	true
effects_description_wh_main_effect_name_epithet_brt_lord_of_war	[HIDDEN] Adds the name "Lord of War"	true
effects_description_wh_dlc05_tech_diplomacy_bonus_greenskins	Diplomatic relations: %+n with Greenskin Tribes	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_vargheist	do not translate	true
effects_description_wh_main_effect_economy_gdp_mod_subsistence	Income from cities: %+n%	true
effects_description_wh_main_effect_name_epithet_emp_lord_of_lies	[HIDDEN] Adds the name "Lord of Lies"	true
effects_description_wh_main_effect_name_epithet_vmp_lord_of_lies	[HIDDEN] Adds the name "Lord of Lies"	true
effects_description_wh_main_effect_building_vampiric_mercenary_capacity_zombies	do not translate	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_hexwraiths	do not translate	true
effects_description_wh_main_effect_name_epithet_chs_the_sorcerer	[HIDDEN] Adds the name "the Sorcerer"	true
effects_description_wh_main_effect_force_army_battle_enemy_unit_morale	Enemy leadership: %+n	true
effects_description_wh_main_effect_name_dummy_ironfist	[HIDDEN] Adds the name "Ironfist" with priority so it cannot be overridden	true
effects_description_wh_main_effect_name_epithet_dwf_night_lord	[HIDDEN] Adds the name "Night Lord"	true
effects_description_wh_main_effect_name_epithet_brt_master_of_the_court	[HIDDEN] Adds the name "Master of the Court"	true
effects_description_wh_main_effect_magic_vampires_cooldown_curse_of_years	Cooldown: %+n% to "Curse of Years"	true
effects_description_wh_main_effect_building_vampiric_mercenary_capacity_black_knights_0	do not translate	true
effects_description_wh_main_effect_building_vampiric_mercenary_capacity_black_knights_1	do not translate	true
effects_description_wh_main_effect_tech_melee_defence_increase_vargheists	Melee defence: %+n for Vargheist units	true
effects_description_wh_main_effect_ability_enable_tormentor_sword	Ability: "Tormentor Sword"	true
effects_description_wh_main_effect_enable_mount_organ_gun	Artillery: Organ Gun	true
effects_description_wh_dlc03_effect_siege_engine_number_bst_siege_tower	%n siege towers per siege item	true
effects_description_wh_dlc03_effect_ability_enable_icon_of_vilification	Passive ability: "Icons of Vilification"	true
effects_description_wh_main_effect_magic_metal_cooldown_gehennas_golden_hounds	Cooldown: %+n% to "Gehenna's Golden Hounds"	true
effects_description_wh_main_effect_name_epithet_vmp_man-slayer	[HIDDEN] Adds the name "Man-slayer"	true
effects_description_wh_dlc05_effect_ability_enable_hawks_talon	Ability: "Hawk's Talon"	true
effects_description_wh_main_effect_agent_action_dignitary_hinder_province_buff	[[col:yellow]]Inhibit[[/col]] action: Growth is modified by an additional %n	true
effects_description_wh_main_effect_tech_recruitment_cost_reduction_chaos_spawn	Recruitment cost: %+n% for Chaos Spawn units	true
effects_description_wh_main_effect_name_epithet_emp_the_brawler	[HIDDEN] Adds the name "the Brawler"	true
effects_description_wh_main_effect_name_epithet_chs_the_mawkish	[HIDDEN] Adds the name "the Mawkish"	true
effects_description_wh_dlc03_effect_magic_wild_enable_mantle_of_ghorok	Spell: "Mantle of Ghorok"	true
effects_description_wh_main_effect_tech_missile_rate_of_fire_rock_lobber	Reload time reduction: %+n% for Goblin Rock Lobber units	true
effects_description_wh_main_effect_force_army_battle_unit_morale_during_ambushes_desert	Leadership: %+n during desert ambushes	true
effects_description_wh_main_effect_agent_action_runesmith_assist_province_buff	[[col:yellow]]Runic Seal[[/col]] action: Enemy [[img:icon_hero]][[/img]]Hero success chance is modified by an additional %n%	true
effects_description_wh_main_effect_name_epithet_emp_the_prophet	[HIDDEN] Adds the name "the Prophet"	true
effects_description_wh_main_effect_name_epithet_vmp_the_prophet	[HIDDEN] Adds the name "the Prophet"	true
effects_description_wh_main_effect_name_epithet_brt_favoured_of_the_gods	[HIDDEN] Adds the name "Favoured of the Gods"	true
effects_description_wh_main_effect_agent_failure_chance_critical	Chance of being wounded after failure: %+n%	true
effects_description_wh_main_effect_force_all_campaign_replenishment_rate	Casualty replenishment rate: %+n%	true
effects_description_wh_dlc05_effect_tech_upkeep_reduction_wef_infantry_calvary	Upkeep: %+n% for Elf infantry and cavalry units	true
effects_description_wh_main_effect_tech_melee_damage_increase_varghulfs	Weapon strength: %+n% for Varghulf units	true
effects_description_wh_main_effect_name_epithet_vmp_spy-master	[HIDDEN] Adds the name "Spy-Master"	true
effects_description_wh_main_effect_name_epithet_chs_the_tyrant	[HIDDEN] Adds the name "the Tyrant"	true
effects_description_wh_main_effect_name_epithet_emp_the_appeaser	[HIDDEN] Adds the name "the Appeaser"	true
effects_description_wh_main_effect_name_epithet_vmp_the_appeaser	[HIDDEN] Adds the name "the Appeaser"	true
effects_description_wh_main_effect_military_force_winds_of_magic_depletion_mod_character_enemy	Enemy Winds of Magic power reserve: %+n	true
effects_description_wh_main_effect_name_epithet_chs_the_despised	[HIDDEN] Adds the name "the Despised"	true
effects_description_wh_main_effect_agent_action_enable_champion_hinder_character	Action: [[col:yellow]]Assassinate[[/col]]	true
effects_description_wh_main_effect_name_epithet_emp_night_lord	[HIDDEN] Adds the name "Night Lord"	true
effects_description_wh_dlc03_effect_building_upkeep_reduction_ungors	Upkeep: %+n% for Ungor units	true
effects_description_wh_main_effect_tech_movement_speed_infantry	Speed: %+n% for infantry units	true
effects_description_wh_main_effect_agent_action_enable_champion_hinder_army_horde	Action: [[col:yellow]]Demoralise Army[[/col]]	true
effects_description_wh_main_effect_building_upkeep_reduction_chaos_hounds	Upkeep: %+n% for Chaos Hound units	true
effects_description_wh_main_effect_force_army_battle_cavalry_charge_bonus	Charge bonus: %+n% for cavalry units	true
effects_description_wh_main_effect_magic_big_waaagh_cooldown_foot_of_gork	Cooldown: %+n% to "Foot of Gork"	true
effects_description_wh_main_effect_agent_action_enable_engineer_assist_province	Action: [[col:yellow]]Knuckle Down[[/col]]	true
effects_description_wh_main_effect_siege_engine_unlock_brt_battering_ram	Pre-siege: battering ram	true
effects_description_wh_main_effect_agent_recruitment_xp_champion_empire	Hero recruit rank: %+n for Empire Captains	true
effects_description_wh_main_effect_siege_engine_unlock_chs_battering_ram	Pre-siege: battering ram	true
effects_description_wh_main_effect_siege_engine_unlock_dwf_battering_ram	Pre-siege: battering ram	true
effects_description_wh_main_effect_siege_engine_unlock_emp_battering_ram	Pre-siege: battering ram	true
effects_description_wh_main_effect_force_army_battle_unit_morale_during_ambushes_forest	Leadership: %+n during forest ambushes	true
effects_description_wh_main_effect_siege_engine_unlock_grn_battering_ram	Pre-siege: battering ram	true
effects_description_wh_main_effect_name_epithet_emp_the_saviour	[HIDDEN] Adds the name "the Saviour"	true
effects_description_wh_main_effect_name_epithet_vmp_the_saviour	[HIDDEN] Adds the name "the Saviour"	true
effects_description_wh_main_effect_name_epithet_brt_keeper_of_the_dead	[HIDDEN] Adds the name "Keeper of the Dead"	true
effects_description_wh_main_effect_siege_engine_unlock_vmp_battering_ram	Pre-siege: battering ram	true
effects_description_wh_dlc05_effect_tech_melee_damage_increase_wef_treespirit	Weapon strength: %+n% for forest spirit units	true
effects_description_wh_main_effect_name_epithet_dwf_dark-bringer	[HIDDEN] Adds the name "Dark-bringer"	true
effects_description_wh_main_effect_force_army_campaign_experience_base_infantry	Unit experience: %+n for infantry unit recruits	true
effects_description_wh_main_effect_economy_gdp_mod_commerce_sea	Income from Ports: %+n%	true
effects_description_wh_main_effect_name_epithet_chs_the_appeaser	[HIDDEN] Adds the name "the Appeaser"	true
effects_description_wh_main_effect_name_epithet_emp_the_despised	[HIDDEN] Adds the name "the Despised"	true
effects_description_wh_main_effect_name_epithet_vmp_the_despised	[HIDDEN] Adds the name "the Despised"	true
effects_description_wh_main_effect_technology_economy_gdp_mod_manufacture_dwarfs	Income from Salt Mines and Dyemakers: %+n%	true
effects_description_wh_main_effect_name_epithet_grn_nurgles_ally	[HIDDEN] Adds the name "Nurgle's Ally"	true
effects_description_wh_main_effect_magic_big_waaagh_enable_brain_bursta	Spell: "Brain Bursta"	true
effects_description_wh_main_effect_tech_recruitment_cost_reduction_ironbreakers	Recruitment cost: %+n% for Ironbreakers units	true
effects_description_wh_main_effect_name_epithet_grn_the_fool_on_the_wall	[HIDDEN] Adds the name "the Fool on the Wall"	true
effects_description_wh_main_effect_character_stat_enable_poison_attacks_hidden	Enables Poison Attacks	true
effects_description_wh_main_effect_agent_action_runesmith_hinder_settlement_buff	[[col:yellow]]Damage Settlement[[/col]] action: Additional %n% damage caused	true
effects_description_wh_main_effect_religion_conversion_chaos_technologies	Chaos corruption: %+n	true
effects_description_wh_main_effect_character_stat_add_ap_damage_fell_bats	Armour-piercing damage: %+n for Fell Bats	true
effects_description_wh_main_effect_tech_melee_defence_increase_knights_demigryphs	Melee defence: %+n for Empire Knights, Reiksguard, Knights of the Blazing Sun, and Demigryph units	true
effects_description_wh_main_effect_economy_gdp_mod_all_adjacent_provinces	Income from all buildings: %+n%	true
effects_description_wh_main_effect_name_epithet_grn_grand_shambla	[HIDDEN] Adds the name "Grand Shambla'"	true
effects_description_wh_dlc05_effect_tech_armour_increase_eternal_guards	Armour: %+n% for Eternal Guard units	true
effects_description_wh_main_effect_agent_recruitment_xp_wizard_greenskins	Hero recruit rank: %+n for Shamans	true
effects_description_wh_main_effect_force_navy_battle_artillery_ship_melee_defence	Melee defence: %+n for artillery ships	true
effects_description_wh_main_effect_agent_action_enable_wizard_hinder_army	Action: [[col:yellow]]Assault Unit[[/col]]	true
effects_description_wh_dlc03_effect_siege_engine_enable_bst_siege_tower	Siege construction: siege tower	true
effects_description_wh_main_effect_name_epithet_dwf_gore-master	[HIDDEN] Adds the name "Gore-master"	true
effects_description_wh_main_effect_name_epithet_dwf_rune_warden	[HIDDEN] Adds the name "Rune Warden"	true
effects_description_wh_main_effect_enable_mount_imperial_pegasus	Mount: Imperial Pegasus	true
effects_description_wh_main_effect_name_epithet_chs_keeper_of_the_dead	[HIDDEN] Adds the name "Keeper of the Dead"	true
effects_description_wh_main_effect_siege_engine_number_emp_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_siege_engine_number_dwf_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_siege_engine_number_grn_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_ability_enable_sword_of_unholy_power	Passive ability: "Sword of Unholy Power"	true
effects_description_wh_main_effect_siege_engine_number_chs_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_tech_upkeep_reduction_dragon_ogre_shaggoths	Upkeep: %+n% for Dragon Ogre Shaggoths units	true
effects_description_wh_main_effect_siege_engine_number_brt_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_black_coach	do not translate	true
effects_description_wh_main_effect_name_epithet_dwf_wall-craven	[HIDDEN] Adds the name "Wall-craven"	true
effects_description_wh_main_effect_enable_mount_warhorse	Mount: Warhorse	true
effects_description_wh_main_effect_force_army_battle_flying_melee_attack	Melee attack: %+n for Vargheists and Terrorgheist units	true
effects_description_wh_main_effect_siege_engine_number_vmp_battering_ram	%n battering rams per siege item	true
effects_description_wh_main_effect_tech_melee_damage_increase_empire_greatswords	Weapon strength: %+n% for Empire units with greatswords	true
effects_description_wh_main_effect_tech_melee_damage_increase_greenskin_chariots	Weapon strength: %+n% for Greenskin Chariot units	true
effects_description_wh_dlc03_effect_melee_attack_increase_characters_beastmen	Melee attack: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_wh_main_effect_force_unit_stat_morale_night_goblins	Leadership: %+n for Night Goblin units	true
effects_description_wh_main_effect_name_epithet_grn_night_lord	[HIDDEN] Adds the name "Night Lord"	true
effects_description_wh_main_effect_agent_action_dignitary_hinder_settlement_buff	[[col:yellow]]Damage Building[[/col]] action: Additional %n% damage caused	true
effects_description_wh_main_effect_public_order_events	{{tr:public_order}}: %+n	true
effects_description_wh_dlc05_effect_agent_action_success_chance_spy_wood_elves	Hero action success chance: %+n% for Waystalkers	true
effects_description_wh_dlc05_effect_tech_melee_attack_increase_wef_treespirits	Melee attack: %+n for all forest spirit units	true
